Time (seconds),strength
0.89,1005
0.99,998
1.10,1044
1.20,1018
1.30,1002
1.41,1009
1.51,1010
1.62,1005
1.72,1003
1.83,999
1.93,1001
2.03,998
2.14,1011
2.24,1004
2.34,996
2.45,1004
2.55,1005
2.66,1008
2.76,996
2.86,1000
2.97,997
3.07,1006
3.18,1020
3.28,1015
3.40,1009
3.51,1001
3.61,998
3.72,1004
3.82,1002
3.92,1001
4.03,1002
4.13,1008
4.24,997
4.34,1013
4.44,1008
4.55,1008
4.65,1008
4.76,997
4.86,996
4.96,993
5.07,1005
5.17,1004
5.28,1008
5.38,1006
5.48,1012
5.59,996
5.69,1004
5.80,1004
5.90,1006
6.00,1002
6.12,1001
6.23,1008
6.33,1006
6.44,998
6.54,1007
6.64,1005
6.75,1001
6.85,1002
6.96,1008
7.06,1007
7.16,999
7.27,1001
7.37,1009
7.48,1006
7.58,997
7.68,1003
7.79,1003
7.89,1005
8.00,1002
8.10,1003
8.20,1013
8.31,1008
8.41,1008
8.52,1007
8.62,1008
8.72,1010
8.85,1009
8.95,1012
9.06,1005
9.16,1008
9.26,1001
9.37,1007
9.47,999
9.58,1011
9.68,1006
9.78,1002
9.89,1008
9.99,1003
10.10,1013
10.20,1008
10.30,1004
10.41,1012
10.51,1000
10.62,1021
10.72,1005
10.82,1006
10.93,1003
11.03,1004
11.14,997
11.24,1005
11.34,1006
11.47,1069
11.57,960
11.68,1012
11.78,584
11.88,1092
11.99,1182
12.09,969
12.20,1017
12.30,995
12.40,959
12.51,1038
12.61,984
12.72,995
12.82,1033
12.92,1007
13.03,1059
13.13,973
13.24,1030
13.34,1103
13.44,1096
13.55,1250
13.65,929
13.76,984
13.86,998
1.17,1008
1.28,1100
1.38,1194
1.48,1061
1.63,1032
1.73,1077
1.84,1102
1.94,1007
2.04,1082
2.15,880
2.25,928
2.36,692
2.46,1071
2.56,1022
2.67,1192
2.77,1150
2.88,998
2.98,1001
3.08,1207
3.19,1046
3.29,893
3.40,1102
3.50,1046
3.60,1001
3.71,928
3.90,1041
4.02,987
4.12,1056
4.31,1041
4.42,969
4.52,1030
4.62,1013
4.73,1124
4.92,1107
5.02,1061
5.12,1007
5.23,1030
5.33,992
5.52,1055
5.62,977
5.73,805
5.83,1108
5.94,1132
6.12,992
6.23,1094
6.33,1063
6.44,1041
6.54,1017
6.73,1038
6.83,1057
6.94,1018
7.04,1001
7.14,978
7.38,777
7.57,989
7.67,903
7.78,1021
7.88,1204
7.98,984
8.17,966
8.28,1310
8.38,989
8.48,986
8.59,1008
8.78,1038
8.88,1012
8.98,978
9.09,1003
9.19,854
9.38,1049
9.48,1019
9.59,1023
9.69,1005
9.80,1010
10.03,970
10.13,1014
10.24,983
10.34,1022
10.44,1009
10.65,1060
10.83,1083
10.93,1069
11.04,902
11.14,960
11.24,963
11.43,1043
11.54,1013
11.64,1043
11.74,1084
11.85,1042
12.04,998
12.14,1076
12.24,988
12.35,999
12.45,1068
12.68,1057
12.78,1015
12.89,1051
12.99,621
13.10,1124
13.28,1026
13.39,1022
13.49,986
13.62,991
13.72,952
13.82,936
13.93,1269
14.03,1098
14.22,1084
14.32,935
14.43,943
14.53,827
14.64,1262
14.82,876
14.93,1076
15.03,1022
15.14,1046
15.24,1137
15.43,880
15.53,1072
15.64,1159
15.74,1526
15.84,873
16.03,940
16.14,991
16.24,1055
16.34,1013
16.47,923
16.57,1040
16.68,1058
16.78,1250
17.02,916
17.12,1346
17.22,1182
17.33,1449
17.43,872
17.62,1048
17.72,1002
17.83,1020
17.93,966
18.04,864
18.22,2056
18.33,939
18.43,942
18.54,1004
18.64,1090
18.83,1003
18.93,1000
19.04,1077
19.14,1149
19.24,983
19.45,841
19.62,964
19.73,1042
19.83,1007
19.94,1032
20.04,1010
20.30,1025
20.49,1065
20.60,922
20.70,912
20.80,1089
20.91,813
21.10,860
21.20,988
21.30,1109
21.41,1090
21.51,948
21.70,1158
21.80,878
21.91,992
22.01,1117
22.12,1029
22.38,1156
22.57,962
22.68,977
22.88,1021
22.98,1030
23.17,940
23.27,1201
23.38,1101
23.48,889
23.58,740
23.77,1174
23.88,1017
23.98,1423
24.09,1336
24.19,1148
24.46,1403
24.64,1076
24.75,747
24.85,954
24.96,818
25.06,816
25.25,1297
25.35,1055
25.46,820
25.56,1118
25.66,410
25.85,1812
25.98,1845
26.08,1066
26.27,835
26.37,885
26.48,955
26.58,1124
26.68,942
26.87,1047
26.98,989
27.08,1096
27.18,929
27.29,963
27.48,953
27.58,1178
27.68,1090
27.79,1110
27.89,1555
28.08,1101
28.18,915
28.29,1066
28.39,929
28.50,893
28.68,1067
28.79,1015
28.91,745
29.12,986
29.22,742
29.33,1348
29.43,1222
29.54,724
29.72,1087
29.83,964
29.93,1410
30.04,715
30.14,1226
30.33,848
30.43,733
30.54,1752
30.64,2068
30.74,1843
30.93,1966
31.04,1474
31.14,885
31.24,2324
31.35,1301
31.54,1005
31.64,2138
31.74,3533
31.87,3533
31.97,1465
32.08,1307
32.18,1082
32.28,959
32.47,2034
32.58,1412
32.68,1469
32.78,933
32.89,1232
33.06,970
33.17,1229
33.27,1156
33.38,1554
33.48,1163
33.67,1054
33.77,706
33.88,833
33.98,1843
34.08,1403
34.27,782
34.38,594
34.48,1288
34.58,943
34.81,1519
34.92,1235
35.12,708
35.22,1350
35.33,1471
35.43,882
35.54,672
35.72,1304
35.83,990
35.93,1477
36.04,1146
36.14,752
36.35,822
36.46,941
36.56,1286
36.66,974
36.77,882
36.96,957
37.06,1168
37.16,1141
37.27,1119
37.37,1211
37.56,1366
37.66,958
37.79,969
38.06,1182
38.24,1328
38.35,1249
38.45,647
38.56,971
38.66,1008
38.85,965
38.95,924
39.06,1214
39.16,1102
39.26,772
39.45,1353
39.56,873
39.66,945
39.76,1135
39.87,1087
40.06,945
40.16,1184
40.26,939
40.37,1049
40.47,1083
40.66,1230
40.77,1102
40.88,956
40.99,958
41.09,1112
41.20,998
41.38,979
41.49,957
41.59,977
41.70,963
41.80,944
41.99,741
42.09,798
42.20,995
42.30,1227
42.40,1415
42.59,1783
42.70,841
42.80,1233
42.90,1387
43.01,931
43.20,866
43.30,1024
43.40,1143
43.51,1061
43.61,1172
43.80,767
43.92,1131
44.03,901
44.22,1104
44.32,1056
44.42,954
44.53,1023
44.63,954
44.82,722
44.92,1099
45.03,1024
45.13,1051
45.24,993
45.49,1266
45.68,945
45.78,840
45.88,871
45.99,1204
46.09,1106
46.28,1088
46.38,1016
46.49,1305
46.59,979
46.70,584
46.88,951
47.01,1432
47.11,1487
47.36,1123
47.46,1155
47.56,898
47.67,931
47.77,1192
47.97,1156
48.08,1173
48.18,1026
48.28,1130
48.39,1257
48.58,841
48.68,814
48.78,1241
48.89,1784
48.99,912
49.18,1123
49.28,971
49.39,1095
49.49,1040
49.60,1175
49.78,1092
49.89,1033
50.01,1696
50.20,1223
50.30,1192
50.41,1090
50.51,717
50.62,823
50.80,1112
50.91,951
51.01,755
51.12,632
51.22,1358
51.41,859
51.51,1006
51.62,818
51.72,1000
51.82,668
52.01,1628
52.12,891
52.22,441
52.32,989
52.43,1469
52.62,873
52.72,891
52.82,892
52.93,1170
53.05,1027
53.16,1084
53.26,1046
53.36,1019
53.55,1024
53.66,1255
53.76,1553
53.86,895
53.97,577
54.16,1199
54.26,1454
54.36,870
54.47,830
54.57,758
54.79,1613
54.89,1731
55.00,959
55.10,766
55.20,1001
55.39,1299
55.50,1534
55.60,1141
55.70,656
55.81,556
56.06,1557
